timestamp,avail (mebibytes),anomaly%,annotations
1755920377000,6457.277,-,-
1755920378000,6457.004,-,-
1755920379000,6457.219,-,-
1755920380000,6455.047,-,-
1755920381000,6457.582,-,-
1755920382000,6457.227,-,-
1755920383000,6457.199,-,-
1755920384000,6457.438,-,-
1755920385000,6456.879,-,-
1755920386000,6457.215,-,-
1755920387000,6455.598,-,-
1755920388000,6455.137,-,-
1755920389000,6456.699,-,-
1755920390000,6453.98,-,-
1755920391000,6456.129,-,-
1755920392000,6455.93,-,-
1755920393000,-,-,-
1755920394000,-,-,-
1755920395000,-,-,-
1755920396000,6456.228,-,-
1755920397000,6456.531,-,-
1755920398000,6455.707,-,-
1755920399000,6456.613,-,-
1755920400000,6456.223,-,-
1755920401000,6456.574,-,-
1755920402000,6456.449,-,-
1755920403000,6456.957,-,-
1755920404000,6457.43,-,-
1755920405000,6457.023,-,-
1755920406000,6444.73,-,-
1755920407000,6439.34,-,-
1755920408000,6435.355,-,-
1755920409000,6435.57,-,-
1755920410000,6431.656,-,-
1755920411000,6432.82,-,-
1755920412000,6435.668,-,-
1755920413000,6435.684,-,-
1755920414000,6434.02,-,-
1755920415000,6437.391,-,-
1755920416000,6356.457,-,-
1755920417000,6227.969,-,-
1755920418000,6020.238,-,-
1755920419000,5788.344,-,-
1755920420000,5354.855,-,-
1755920421000,4707.059,-,-
1755920422000,4563.32,-,-
1755920423000,4315.906,-,-
1755920424000,4117.555,-,-
1755920425000,4040.492,-,-
1755920426000,3900.422,-,-
1755920427000,3743.547,-,-
1755920428000,-,-,-
1755920429000,-,-,-
1755920430000,-,-,-
1755920431000,3644.918,-,-
1755920432000,3545.203,-,-
1755920433000,3260.27,-,-
1755920434000,3175.297,-,-
1755920435000,2780.547,-,-
1755920436000,2779.105,-,-
1755920437000,2778.969,-,-
1755920438000,2320.082,-,-
1755920439000,1672.5078,-,-
1755920440000,1518.2539,-,-
1755920441000,2082.996,-,-
1755920442000,1912.84,-,-
1755920443000,1878.203,-,-
1755920444000,1758.871,-,-
1755920445000,1739.742,-,-
1755920446000,1741.141,-,-
1755920447000,1743.77,-,-
1755920448000,1740.832,-,-
1755920449000,1738.875,-,-
1755920450000,1738.277,-,-
1755920451000,1737.828,-,-
1755920452000,1735.102,-,-
1755920453000,1736.168,-,-
1755920454000,1735.938,-,-
1755920455000,1735.301,-,-
1755920456000,1734.883,-,-
1755920457000,1734.297,-,-
1755920458000,1732.809,-,-
1755920459000,1735.523,-,-
1755920460000,1734.336,-,-
1755920461000,1733.711,-,-
1755920462000,1733.293,-,-
1755920463000,1732.941,-,-
1755920464000,-,-,-
1755920465000,-,-,-
1755920466000,-,-,-
1755920467000,1732.505,-,-
1755920468000,1732.062,-,-
1755920469000,1732.203,-,-
1755920470000,1731.621,-,-
1755920471000,1732.047,-,-
1755920472000,1730.312,-,-
1755920473000,1730.988,-,-
1755920474000,1731.266,-,-
1755920475000,1730.727,-,-
1755920476000,1730.531,-,-
1755920477000,1728.941,-,-
1755920478000,1728.137,-,-
1755920479000,1727.754,-,-
1755920480000,1727.586,-,-
1755920481000,1736.953,-,-
1755920482000,1737.773,-,-
1755920483000,1738.375,-,-
1755920484000,1738.039,-,-
1755920485000,1738.172,-,-
1755920486000,1738.527,-,-
1755920487000,1738.637,-,-
1755920488000,1738.188,-,-
1755920489000,1735.922,-,-
1755920490000,1738.156,-,-
1755920491000,1738.047,-,-
1755920492000,1737.609,-,-
1755920493000,1735.75,-,-
1755920494000,1737.344,-,-
1755920495000,1733.938,-,-
1755920496000,1736.117,-,-
1755920497000,1736.141,-,-
1755920498000,1736.781,-,-
1755920499000,1737.863,-,-
1755920500000,-,-,-
1755920501000,-,-,-
1755920502000,-,-,-
1755920503000,1737.301,-,-
1755920504000,1736.73,-,-
1755920505000,1734.406,-,-
