timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756262006000,1337.71485,5697.2735,634.8418,8.1074215,-,-
1756262008000,1223.9395,5809.127,636.7578,8.113281,-,-
1756262010000,1184.86135,5847.9315,637.03125,8.113281,-,-
1756262012000,1156.53715,5875.678,637.60155,8.121094,-,-
1756262014000,1128.19335,5903.4215,638.20115,8.121094,-,-
1756262016000,1118.33395,5913.078,638.4004,8.125,-,-
1756262018000,1109.08205,5920.3615,640.36135,8.132812,-,-
1756262020000,1105.4121,5922.385,642.00785,8.132812,-,-
1756262022000,1098.1035,5929.875,641.81835,8.140625,-,-
1756262024000,1093.416,5934.4085,641.9727,8.140625,-,-
1756262026000,1090.5078,5936.3595,642.918,8.152344,-,-
1756262028000,1084.20115,5942.385,643.1992,8.152344,-,-
1756262030000,1084.0371,5942.797,642.94335,8.160156,-,-
1756262032000,1080.65625,5946.3395,642.71485,8.2265625,-,-
1756262034000,1078.2969,5947.8165,643.5254,8.2988285,-,-
1756262036000,1074.99805,5950.891,643.74415,8.304688,-,-
1756262038000,1070.79495,5955.668,643.1699,8.304688,-,-
1756262040000,1069.11325,5956.83,643.68165,8.3125,-,-
1756262042000,1061.34765,5964.842,643.43165,8.316406,-,-
1756262044000,1058.16405,5967.719,643.7383,8.316406,-,-
1756262046000,1058.37695,5967.7715,643.46485,8.324219,-,-
1756262048000,1058.9805,5968.0315,642.60155,8.324219,-,-
1756262050000,1057.99605,5969.5975,642.00975,8.3339845,-,-
1756262052000,1063.293,5964.135,642.166,8.34375,-,-
1756262054000,1062.78905,5965.127,641.67775,8.34375,-,-
1756262056000,1062.99805,5965.412,641.17575,8.351562,-,-
1756262058000,1131.2578,5897.625,640.7031,8.351562,-,-
1756262060000,1130.625,5898.252,640.70115,8.359375,-,-
1756262062000,1129.85155,5898.9435,640.7793,8.3632815,-,-
1756262064000,1129.62305,5899.1425,640.7969,8.375,-,-
1756262066000,1166.80275,5861.9495,640.80275,8.382812,-,-
1756262068000,1165.34765,5863.3905,640.8164,8.382812,-,-
1756262070000,1165.64845,5863.0785,640.8281,8.382812,-,-
1756262072000,1165.20895,5862.893,641.44925,8.3867185,-,-
1756262074000,1198.56835,5829.004,641.97465,8.390625,-,-
1756262076000,1237.3125,5790.25,641.9844,8.390625,-,-
1756262078000,1237.623,5789.92,641.9961,8.398438,-,-
1756262080000,1234.03515,5793.4945,642.00975,8.398438,-,-
1756262082000,1235.24805,5792.2715,642.0195,8.398438,-,-
1756262084000,1237.082,5790.4105,642.0371,8.408203,-,-
1756262086000,1236.8945,5790.58,642.04885,8.414062,-,-
1756262088000,1237.06445,5790.3945,642.06445,8.414062,-,-
1756262090000,1237.25195,5790.1935,642.0703,8.421875,-,-
1756262092000,1236.69335,5790.746,642.07615,8.421875,-,-
1756262094000,1237.4492,5789.977,642.0898,8.421875,-,-
1756262096000,1382.18165,5642.193,645.0918,8.4707035,-,-
1756262098000,1527.30275,5493.408,648.7148,8.511719,-,-
1756262100000,1526.17775,5494.5335,648.7148,8.511719,-,-
1756262102000,1449.666,5570.9845,648.77145,8.515625,-,-
1756262104000,1123.32615,5896.764,649.3281,8.519531,-,-
1756262106000,1104.65235,5914.805,649.9609,8.519531,-,-
1756262108000,1091.82425,5927.219,650.3594,8.535156,-,-
1756262110000,1076.8008,5942.002,650.5996,8.535156,-,-
1756262112000,1122.88675,5895.7815,650.7305,8.5390625,-,-
1756262114000,1112.08785,5905.967,651.3398,8.542969,-,-
1756262116000,1105.80665,5912.2265,651.36135,8.542969,-,-
1756262118000,1102.0508,5915.7225,651.6133,8.550781,-,-
1756262120000,1150.44535,5867.7205,651.2207,8.550781,-,-
1756262122000,1140.20705,5877.801,651.3711,8.558594,-,-
1756262124000,1135.16405,5882.7305,651.48435,8.558594,-,-
1756262126000,1130.375,5887.047,651.957,8.558594,-,-
1756262128000,1111.6211,5904.533,653.2168,8.566406,-,-
1756262130000,1109.19335,5906.16,654.01755,8.566406,-,-
