timestamp,Committed_AS (mebibytes),anomaly%,annotations
1755920603000,14653.406,-,-
1755920604000,14653.406,-,-
1755920605000,14680.43,-,-
1755920606000,14680.43,-,-
1755920607000,14680.43,-,-
1755920608000,-,-,-
1755920609000,-,-,-
1755920610000,-,-,-
1755920611000,14680.43,-,-
1755920612000,14680.43,-,-
1755920613000,14680.43,-,-
1755920614000,14680.43,-,-
1755920615000,14680.43,-,-
1755920616000,14680.43,-,-
1755920617000,14680.43,-,-
1755920618000,14680.43,-,-
1755920619000,14680.43,-,-
1755920620000,14680.43,-,-
1755920621000,14680.43,-,-
1755920622000,14680.43,-,-
1755920623000,14680.43,-,-
1755920624000,14680.43,-,-
1755920625000,14680.43,-,-
1755920626000,14680.43,-,-
1755920627000,14680.43,-,-
1755920628000,14680.43,-,-
1755920629000,14680.43,-,-
1755920630000,14680.43,-,-
1755920631000,14569.188,-,-
1755920632000,14569.188,-,-
1755920633000,14612.367,-,-
1755920634000,14686.926,-,-
1755920635000,14680.41,-,-
1755920636000,14680.41,-,-
1755920637000,14680.41,-,-
1755920638000,14680.473,-,-
1755920639000,14680.473,-,-
1755920640000,14686.988,-,-
1755920641000,14687.117,-,-
1755920642000,14687.117,-,-
1755920643000,-,-,-
1755920644000,-,-,-
1755920645000,-,-,-
1755920646000,14683.912,-,-
1755920647000,14680.664,-,-
1755920648000,14680.664,-,-
1755920649000,14680.664,-,-
1755920650000,14680.727,-,-
1755920651000,14680.789,-,-
1755920652000,14680.789,-,-
1755920653000,14681.168,-,-
1755920654000,14681.23,-,-
1755920655000,14681.23,-,-
1755920656000,14681.23,-,-
1755920657000,14681.23,-,-
1755920658000,14681.23,-,-
1755920659000,14681.23,-,-
1755920660000,14681.23,-,-
1755920661000,14681.23,-,-
1755920662000,14681.293,-,-
1755920663000,14681.293,-,-
1755920664000,14681.293,-,-
1755920665000,14681.293,-,-
1755920666000,14681.293,-,-
1755920667000,14681.293,-,-
1755920668000,14681.293,-,-
1755920669000,14681.293,-,-
1755920670000,14681.293,-,-
1755920671000,14681.293,-,-
1755920672000,14683.18,-,-
1755920673000,14683.18,-,-
1755920674000,14683.18,-,-
1755920675000,14681.551,-,-
1755920676000,14683.438,-,-
1755920677000,14683.438,-,-
1755920678000,14683.438,-,-
1755920679000,-,-,-
1755920680000,-,-,-
1755920681000,-,-,-
1755920682000,14682.66,-,-
1755920683000,14681.871,-,-
1755920684000,14681.871,-,-
1755920685000,14681.934,-,-
1755920686000,14681.934,-,-
1755920687000,14681.934,-,-
1755920688000,14685.707,-,-
1755920689000,14685.707,-,-
1755920690000,14685.703,-,-
1755920691000,14684.969,-,-
1755920692000,14682.449,-,-
1755920693000,14682.449,-,-
1755920694000,14682.449,-,-
1755920695000,14682.449,-,-
1755920696000,14682.449,-,-
1755920697000,14682.449,-,-
1755920698000,14682.449,-,-
1755920699000,14682.449,-,-
1755920700000,14682.578,-,-
1755920701000,14682.578,-,-
1755920702000,14682.641,-,-
1755920703000,14682.703,-,-
1755920704000,14682.766,-,-
1755920705000,14682.766,-,-
1755920706000,14682.766,-,-
1755920707000,14682.766,-,-
1755920708000,14682.766,-,-
1755920709000,14682.766,-,-
1755920710000,14682.766,-,-
1755920711000,14682.766,-,-
1755920712000,14682.766,-,-
1755920713000,14682.766,-,-
1755920714000,14682.766,-,-
1755920715000,-,-,-
1755920716000,-,-,-
1755920717000,-,-,-
1755920718000,14682.766,-,-
1755920719000,14682.766,-,-
1755920720000,14682.766,-,-
1755920721000,14682.766,-,-
1755920722000,14682.766,-,-
1755920723000,14682.766,-,-
1755920724000,14682.766,-,-
1755920725000,14682.766,-,-
1755920726000,14682.766,-,-
1755920727000,14682.766,-,-
1755920728000,14682.766,-,-
1755920729000,14682.766,-,-
1755920730000,14571.543,-,-
1755920731000,14571.543,-,-
1755920732000,14669.297,-,-
1755920733000,14689.297,-,-
1755920734000,14682.781,-,-
1755920735000,14682.781,-,-
1755920736000,14682.781,-,-
1755920737000,14682.781,-,-
1755920738000,14687.668,-,-
1755920739000,14687.664,-,-
1755920740000,14687.664,-,-
1755920741000,14687.664,-,-
1755920742000,14686.551,-,-
1755920743000,14686.551,-,-
1755920744000,14686.555,-,-
1755920745000,14686.555,-,-
1755920746000,14683.297,-,-
1755920747000,14683.297,-,-
